institution_slug,meta_title,meta_description,faq_json,highlights_json,important_dates_json
nit-trichy,"NIT Trichy - Cutoff, JEE Main, Admission, Fees & Placements","Get NIT Trichy B.Tech cutoffs, JEE Main branch rankings, average placements package, JoSAA counseling steps, and hostel infrastructure reviews.","[{""q"": ""What is NIT Trichy NIRF ranking?"", ""a"": ""NIT Trichy is ranked 9th in the Engineering category by NIRF 2025.""}]","[{""title"": ""B.Tech Streams"", ""value"": ""9 Specializations""}]","[{""event"": ""JEE Main 2026 Session 1"", ""date"": ""January 24 - February 1, 2026""}]"
vit-vellore,"VIT Vellore - Admission, VITEEE, Courses, Fees & Placements","Discover Vellore Institute of Technology (VIT) Vellore. Get detail updates on VITEEE application form, group counseling, fees, and placements.","[{""q"": ""Is VIT Vellore recognized by UGC?"", ""a"": ""Yes, VIT is recognized as a Deemed-to-be-University by the UGC.""}]","[{""title"": ""Student Intake"", ""value"": ""Very High""}]","[{""event"": ""VITEEE Exam"", ""date"": ""April 19-30, 2026""}]"
srm-chennai,"SRM University Chennai (Kattankulathur) - Placement & Admission","SRM Institute of Science and Technology Kattankulathur campus details. Search SRMJEEE dates, course fees, placements record, and reviews.","[{""q"": ""What is the top package of SRM Chennai?"", ""a"": ""The highest package at SRM Chennai reached 1.1 Crore PA in 2025 placements.""}]","[{""title"": ""Hostels"", ""value"": ""15+ Blocks""}]","[{""event"": ""SRMJEEE Phase 1 Exam"", ""date"": ""April 2026""}]"
amity-noida,"Amity University Noida - Admission, Fees, Placement & Review","Explore Amity University Noida programs. Direct admission requirements, fees, industry collaborations, placement rates, and hostel amenities.","[{""q"": ""Does Amity Noida have direct admission?"", ""a"": ""Yes, Amity offers direct admission to candidates with 12th board marks above 80% for some programs.""}]","[{""title"": ""Campus Infrastructure"", ""value"": ""Premium / High-tech""}]","[{""event"": ""Amity Application Deadline"", ""date"": ""June 30, 2026""}]"
sharda-university,"Sharda University Greater Noida - Admission, Fees & Courses","Read about Sharda University: SUAT details, international student intake, courses, fee tables, review scores, and placement companies.","[{""q"": ""Where is Sharda University located?"", ""a"": ""Sharda University is located in Knowledge Park III, Greater Noida, Uttar Pradesh.""}]","[{""title"": ""Global Reach"", ""value"": ""Students from 95+ countries""}]","[{""event"": ""SUAT Test Window"", ""date"": ""May - July 2026""}]"
lpu,"Lovely Professional University (LPU) - Placements, Fees & Admission","Complete details on LPU Punjab. Find LPUNEST eligibility, engineering and MBA fees, scholarship levels, and record-breaking placement stats.","[{""q"": ""What is LPUNEST?"", ""a"": ""LPUNEST is a university-level entrance and scholarship exam conducted by LPU.""}]","[{""title"": ""Campus Size"", ""value"": ""600 Acres""}]","[{""event"": ""LPUNEST Registration"", ""date"": ""Ongoing""}]"
chandigarh-university,"Chandigarh University (CU) Mohali - Admission & Courses","All Chandigarh University information: CUCET application, courses list, international tie-ups, NAAC Grade, and average placement pack values.","[{""q"": ""Is Chandigarh University NAAC accredited?"", ""a"": ""Yes, Chandigarh University is accredited with A+ grade by NAAC.""}]","[{""title"": ""Accreditation"", ""value"": ""NAAC A+""}]","[{""event"": ""CUCET Phase 1 Exam"", ""date"": ""January - May 2026""}]"
bennett-university,"Bennett University Greater Noida - Admission, Fees & Placements","Information on Bennett University courses (B.Tech, MBA, BBA), fee structures, Times Group benefits, placements, and scholarship rules.","[{""q"": ""Who owns Bennett University?"", ""a"": ""Bennett University was founded by the Times Group (Bennett, Coleman & Co. Ltd.)""}]","[{""title"": ""Placement Rate"", ""value"": ""90%""}]","[{""event"": ""Bennett Application Deadline"", ""date"": ""July 15, 2026""}]"
graphic-era,"Graphic Era University (GEU) Dehradun - Fee & Placement","Complete information on Graphic Era Dehradun including engineering and management courses, tuition fee waiver for women, and average package.","[{""q"": ""Is Graphic Era good for B.Tech?"", ""a"": ""Yes, Graphic Era is a highly ranked private university in Uttarakhand for B.Tech CSE.""}]","[{""title"": ""Location"", ""value"": ""Dehradun, Uttarakhand""}]","[{""event"": ""Direct Admission Merit List"", ""date"": ""June 2026""}]"
galgotias-university,"Galgotias University Greater Noida - Courses, Fees, Cutoff","Explore Galgotias University courses, UPTAC cutoff ranks, fee structure, placement companies list, hostel fee details, and user reviews.","[{""q"": ""Is Galgotias University UPTAC listed?"", ""a"": ""Yes, Galgotias University accepts students through UPTAC counseling.""}]","[{""title"": ""Fee Structure"", ""value"": ""Very Affordable""}]","[{""event"": ""UPTAC Counseling Begins"", ""date"": ""July 2026""}]"
